Time,Average of PMV,Average of ta,Simulated NC,Average of SPL (dB)
00:00,0.4901,26.2,32,44.2
01:00,0.4812,26.1,31,44.0
02:00,0.4748,26.0,31,43.8
03:00,0.4701,25.9,31,43.7
04:00,0.4637,25.8,31,43.9
05:00,0.4583,25.7,32,44.0
06:00,0.4454,25.8,33,44.5
07:00,0.4267,26.0,34,45.3
08:00,0.4922,26.5,36,47.9
09:00,0.5315,27.1,38,49.2
10:00,0.5741,27.5,39,50.1
11:00,0.6063,27.8,40,51.0
12:00,0.6195,28.0,40,51.4
13:00,0.6348,28.2,40,51.2
14:00,0.6451,28.3,39,50.9
15:00,0.6286,28.1,39,50.5
16:00,0.5983,27.9,38,49.6
17:00,0.5724,27.7,37,48.3
18:00,0.5436,27.4,36,47.0
19:00,0.5162,27.1,35,45.8
20:00,0.4915,26.8,34,44.9
21:00,0.4679,26.5,33,44.1
22:00,0.4592,26.3,32,43.7
23:00,0.4527,26.2,32,43.6
