Time,Average of PMV,Average of ta,Simulated NC,Average of SPL (dB)
00:00,0.5021,25.1,31,44.1
01:00,0.4887,25.0,31,43.9
02:00,0.4805,24.9,31,43.7
03:00,0.4753,24.8,32,43.6
04:00,0.4688,24.7,32,44.0
05:00,0.4609,24.6,32,44.1
06:00,0.4307,24.4,34,44.8
07:00,0.3922,24.2,37,46.6
08:00,0.3684,24.3,42,50.5
09:00,0.4203,24.5,45,53.9
10:00,0.4567,24.7,47,55.8
11:00,0.4742,24.8,46,55.0
12:00,0.4815,24.9,48,56.1
13:00,0.4881,25.0,48,55.6
14:00,0.4917,25.1,47,55.1
15:00,0.4982,25.0,46,54.7
16:00,0.4864,24.9,45,53.8
17:00,0.4579,24.7,43,51.5
18:00,0.4391,24.6,41,49.3
19:00,0.4306,24.5,40,48.1
20:00,0.4745,24.7,38,47.3
21:00,0.5018,24.9,36,45.6
22:00,0.5287,25.0,34,44.5
23:00,0.5312,25.1,33,44.2
