Time,Average of PMV,Average of ta,Simulated NC,Average of SPL (dB)
00:00,0.389,24.5,31,43.2
01:00,0.377,24.4,31,43.0
02:00,0.368,24.3,31,43.2
03:00,0.354,24.2,31,43.0
04:00,0.342,24.1,31,43.0
05:00,0.332,24.0,31,43.1
06:00,0.338,24.0,32,43.6
07:00,0.344,23.9,33,44.2
08:00,0.310,23.8,38,47.8
09:00,0.421,24.1,45,52.1
10:00,0.455,24.3,48,54.5
11:00,0.466,24.4,47,53.8
12:00,0.472,24.5,48,54.7
13:00,0.478,24.5,47,54.0
14:00,0.486,24.6,47,53.6
15:00,0.493,24.7,47,53.9
16:00,0.478,24.6,46,52.8
17:00,0.456,24.5,44,51.2
18:00,0.418,24.3,41,48.9
19:00,0.403,24.2,40,47.6
20:00,0.429,24.4,38,46.2
21:00,0.446,24.5,36,45.1
22:00,0.452,24.6,35,44.6
23:00,0.459,24.6,34,44.3
